file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_m_sf08_s.tga,d8c478585a87a40f6e5e659f1d37da16fd61f62357c91dda4d7dbe95c273aed8,po_mi_m_sf08_s.dds,370649f45ea14877d91601c8a1251725dc57100b10f14fbf4b65d985d74e7c37,32,64,DXT1,6162,1152
po_mi_m_sf08_t.tga,a4b3f0f9fbba6b8238e4a6e669a2fb03df7ea8cc02dff96abe61e26a76208d67,po_mi_m_sf08_t.dds,5e95fa57a917b0cd8251fbf34bd7e69864996bf0c68fd937fc026e8490750876,16,32,DXT1,1554,384
po_mi_m_sf10_l.tga,a1de5dc3a57791aa51f4a6a299bf65ff74798f5887d0e50faa71c6beacd933d8,po_mi_m_sf10_l.dds,28d8c905f2cc81505c51cbc14a09d1f96b4ef01ec1e16f09695510cd93ebde88,128,256,DXT1,98322,16512
po_mi_m_sf10_m.tga,8c1abd6d2cc24f4b8ee13930917c19ad98838ce04fb91fb7001f4e609b8eb85d,po_mi_m_sf10_m.dds,20868a53ea47b20f390f9c05474f5bbd5e32d05d83ef5fc590f639c80ed5bd89,64,128,DXT1,24620,4224
po_mi_m_sf10_s.tga,237d4281552801e236e1b63cdc2b7c2417cd9568972cefc6780396ee4c328a0c,po_mi_m_sf10_s.dds,28a9357f208ffb24b818c2fcea761a6bda88d0fafdf26881b4a33469cfbd3e0b,32,64,DXT1,6162,1152
po_mi_m_sf10_t.tga,1231418627a258ab1e1444d5c61cfa5a7650594f91b01698970d73daa6fcb2e3,po_mi_m_sf10_t.dds,24bc7b829f2305d0357b1d75763e1f99eb90cb5277fdac4972dc6f0aa982ca85,16,32,DXT1,1554,384
po_mi_m_sf11_l.tga,b05237c95408217d94d75d615696673dc740e53be8735f183e24f1133060478d,po_mi_m_sf11_l.dds,cfe17e0eb1dd69e7b09266106f9e7e6330f4fdd66ff7c4361d288a4e58d2a721,128,256,DXT1,98322,16512
po_mi_m_sf11_m.tga,d65b7a2c6866e559c3834d82aa7250b5e0c8032eb0dabe68997b882f9b3eff2f,po_mi_m_sf11_m.dds,bcf8119f92fae2f30f9e1c102364a810e1e1f286933fbcad37a5c59abeff605f,64,128,DXT1,24594,4224
po_mi_m_sf11_s.tga,aaa36d626613a10b7b56e71c934b5435431bbc5479f40c1c5eded7dc5af16b4f,po_mi_m_sf11_s.dds,719cdc2a52c28d09127c15bda449cd0624ac5d031aa5ddc44baf4fdcf6c07653,32,64,DXT1,6162,1152
po_mi_m_sf11_t.tga,91ba92bad89aba00eaa833e34091e72749a4ea979303f4acfb1674d1252cba01,po_mi_m_sf11_t.dds,14ffdb62c84fc726c5eacdc0e33c9bd8cd803d6b429a3e39684e11d3aa377dfb,16,32,DXT1,1554,384
