file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_40k_m01_l.tga,a2e687f3a778207c1dfee71e9a4fa8535f83120952a36870824b1ec4e848e2d9,po_40k_m01_l.dds,3e531795d51c8290433a01e61e0a316cc8cf71f419285a2d99a779e3c213b59f,128,256,DXT1,98322,16512
po_40k_m01_m.tga,a39818977cfda0fd0fdef91b28bbcdd3acbc1f6c0ca79e40c1afc753728bff1e,po_40k_m01_m.dds,9700328585bb528aabea5674fbf1608307ba755a9005147743b02ff32c73d033,64,128,DXT1,24620,4224
po_40k_m01_s.tga,3f00cbab7ad1b5aa7d565e296df0dcb0a6a6dc105f3f9ef9bc105b81635c1f1e,po_40k_m01_s.dds,2f2246295b5c027b518104f3fc3067b93ee5b579e4dbbbe6a59a447c84bcb9f2,32,64,DXT1,6162,1152
po_40k_m01_t.tga,2b39cf8e489cb591085b68f7fcf06bfb45863798b14465c4964232fb92dd154b,po_40k_m01_t.dds,8af6f2f93e7de68317fb3796dc32dd6d6161ba36b36c1d937380b39ffad0f69e,16,32,DXT1,1554,384
po_40k_m02_l.tga,0f54e9c0e0b366d3a2fd9d76cae84639273e3aeb6986a1aa543572026cf33bcd,po_40k_m02_l.dds,89a30eb34411d2545ae6e0a0934ea9a9108249d15dd14436e5fc49497a3d2050,128,256,DXT1,98322,16512
po_40k_m02_m.tga,da62257f39104a8b05603c89293300894e73ac319aca8a16f958af210a761b71,po_40k_m02_m.dds,86269027eec6434f40f62dd1a622515d6b4e606fa03f3f0bf25ba3b0fd5845ff,64,128,DXT1,24620,4224
po_40k_m02_s.tga,96bc04b63129ebff32ec6615d94c7e51f1d502312c76c959d0ce5267923074e7,po_40k_m02_s.dds,f02d7969344823bbe01a0208cddc20ded32711e43284144575165df49b859aec,32,64,DXT1,6162,1152
po_40k_m02_t.tga,f2dc84eaed96bbc81da3d7d2e9bcb261b8e470cfa474369c67c8ac8ed1c1e16a,po_40k_m02_t.dds,0f1350ef5d00b6da6e701380cedf84fc736635661840cba919b148e0d772fdc1,16,32,DXT1,1554,384
po_40k_m03_l.tga,c829d622d78b88628b01ff148f5cd26e3738e618fa2fa7b7f9a2ba8bd1d83c0b,po_40k_m03_l.dds,82e68070ac20bdd8c40608b071bce1ef4fac6b7b191eff2d79b17d9328968c26,128,256,DXT1,98322,16512
po_40k_m03_m.tga,bd26d686dcd6c24e15a4db78cd25238cbed0f2ae4eacc0780641b741030ddbf5,po_40k_m03_m.dds,dc0196323a0c62b80411eb355c0ac08dfdb19a6873213f147e2e50282e56c298,64,128,DXT1,24620,4224
po_40k_m03_s.tga,ddc6fd383bf7a7ed6f731f39fee6f0599aa871d17559dcc874451232c9f61d39,po_40k_m03_s.dds,be6a2462605da7c38b87fd3eea5911b7f24179731729456cf62904c2d74dd8d6,32,64,DXT1,6162,1152
po_40k_m03_t.tga,8080870b3a5736fbfcdebb0ed4d4428b8319937e114089569b75aa0af2e71e92,po_40k_m03_t.dds,a760a0bfe07fa4ee14d4187831c01bf42f073df636ebd0fc72409c41cdee368a,16,32,DXT1,1554,384
po_40k_m04_l.tga,7b4f907c414777c99e5c750c34e691f7e46c3fffcc80b17a18e91c84c9b58e68,po_40k_m04_l.dds,f4cdf28e19c3beb59e75076efb7f9607521298379daca503832c6d950e27673c,128,256,DXT1,98322,16512
po_40k_m04_m.tga,fc3f7dadce6914e5072fb2558cf93a2f70aa63b1b40dd8f6fcceaf3611fa7758,po_40k_m04_m.dds,5221c78cdd117a9e890c7dfbcc29c784fb0c69247b3b9e23da35f4f31b30a167,64,128,DXT1,24620,4224
po_40k_m04_s.tga,2d8373031a913e997dd099726eb3405958a0a2c8269fa711ef39fe8f830cb414,po_40k_m04_s.dds,3fef41ea305ee356b3bc3fa1e254fc838764e977cab22f927e2e5fb41a607ae6,32,64,DXT1,6162,1152
po_40k_m04_t.tga,ebc9471247c15e3111591a2b1c1a03f4795df554ecd30e21ce243220e60ad3a9,po_40k_m04_t.dds,78998ac17019d8baef7c22cbafd5bb36dc1e22171613e3af131090c99c7b5926,16,32,DXT1,1554,384
po_40k_m05_l.tga,14db17b68acfdf4d45e83ba972562e5336981c027d0076f7809ead2faf43990f,po_40k_m05_l.dds,371950c8790b6dee737446edc50ccd1210e6b13bd68835e6f0d06e0a5b94414d,128,256,DXT1,98322,16512
po_40k_m05_m.tga,89a208dde70705ddb34a24b8a496905af11621d9334e20b4a7361101ca338dd7,po_40k_m05_m.dds,cb521cd25d7aa3e37fe67683947e8049ef41d7934bc4f3c7c11392d368f66bc0,64,128,DXT1,24620,4224
po_40k_m05_s.tga,2e3b6830489fa9eb4b81c26199f700dda3e4c4d19d5e5426523a8e92b32b6829,po_40k_m05_s.dds,da0ce5ef8de97588fa172f04fff1b39ebd28aa701bffc3242e7eda6d29c92e4d,32,64,DXT1,6162,1152
po_40k_m05_t.tga,8bdc5302388a5355d87252e3145cc14a74a630c3ab51f2ef7fce7f15179d3ddb,po_40k_m05_t.dds,3a87105ce4249ab941539c3196ce6a0fd7062a72c87208d1e4cbca29256fa09f,16,32,DXT1,1554,384
po_40k_m06_l.tga,ba8d6ac70bdbfa80a56ebd714d3a75399fef55a0f0bb2ce8b4f4068ba76eec2b,po_40k_m06_l.dds,a4f46a0a6fea79b6f290ede4daef2920a6719e2f412e6b9e9ae29ea20a45a924,128,256,DXT1,98322,16512
po_40k_m06_m.tga,04b62e60ff96d6a51ddf566e78d58d0846ea830a938d85f4af6b6c19bf302dad,po_40k_m06_m.dds,d7c3de89a1592350b9c6511d8b976c2962b99386a39b016963462dfed170e1cd,64,128,DXT1,24620,4224
po_40k_m06_s.tga,372ecdd0906fc9a6370f85fc99391928143fb7d624b0c5766230d052d3df3341,po_40k_m06_s.dds,8f708c969b5f4a94f168f8eebfea029d73d2d246a5a3dbbc5baffb6c5f223697,32,64,DXT1,6162,1152
po_40k_m06_t.tga,8c70559441f31601396cef5cc7965ee0e8235182b49a7732779e1c58741257e7,po_40k_m06_t.dds,a4b38129891d12d7b555bbdd720ca43fb1657d506a5d8d86eb97dbcd0b6fbe5d,16,32,DXT1,1554,384
po_40k_m07_l.tga,d143c43edcfa7f79d0074edacd286b74947d810d099195d6a6da4980e0ba3ef1,po_40k_m07_l.dds,cfed89945fd54e502ec9ef544848ba8b6cd94c9a847cf0cc2ed49a97764b6c8d,128,256,DXT1,98322,16512
po_40k_m07_m.tga,9dd9337daae7655f80ef6d18bf6194d52d376423c9c26a7fd980ea10ec5d58cf,po_40k_m07_m.dds,eb8e9ba4b2878eced01adda2a0e501b73d471930e66737e5533dbdd2a19a7c0c,64,128,DXT1,24620,4224
po_40k_m07_s.tga,15cdffaafd4615c38debca9f8f155a18f581f969e28609aaaf7683503f85d751,po_40k_m07_s.dds,7d1159020e05ca52636839fd5d5a487fbc0c8c0b4608dc97eb6f2d702f5957c8,32,64,DXT1,6162,1152
po_40k_m07_t.tga,ed07c0b03e53fbc26e4bbfe7aa16f36fe624daa48ceaf92f6e0eb0922eddd082,po_40k_m07_t.dds,19de34a6af6c074311bef8d12bc878b732ae62b83bfe4e99d948de49238187a4,16,32,DXT1,1554,384
po_40k_m08_l.tga,dcfe8c4b9d34037f0b97398ceca5f924b1b1fed6b6e9698ec1c61ddf34076728,po_40k_m08_l.dds,c019bde42644877fe9e292475d1cd587510fdd1c98722a75f007b4455baed995,128,256,DXT1,98322,16512
po_40k_m08_m.tga,d6653d781d418fc7fc68bd09e161343616bf25dc3d111e5491b279e7d0501df6,po_40k_m08_m.dds,1034a4cc1332b4b377a50e1224fc34dbb97973afadbd5f1fd1c4f8b2bbc35476,64,128,DXT1,24620,4224
po_40k_m08_s.tga,61acac91a22585ad87e197b094c7de650022f3ba6cf8b66b4750c9b51029fdce,po_40k_m08_s.dds,ca841f35c714027f2eaa919d5a0cda9a41871c54e93c3d43472c6ff1034ce2fb,32,64,DXT1,6162,1152
po_40k_m08_t.tga,6250077fca627a379bb7fe59d223ca6eddbca967b55fc8b5c30f9bab1df6ce84,po_40k_m08_t.dds,5a4d5de2ea2d8c8588f9eaa196e1f38fe9a71d3dd4f88f0ebaa085ce9e992dd7,16,32,DXT1,1554,384
po_40k_m09_l.tga,c5c7c0e4d9276b48920906fd408eeda198c5ff174d61fb3344685dc7640c1ad2,po_40k_m09_l.dds,19feb8a5a4ac39564f8d14f3efde1ee3b46f222b8b13c8e394afedfea6cee30a,128,256,DXT1,98322,16512
po_40k_m09_m.tga,cef51cbdf27640da883f6eb393c8247b6ea33d559639d4c238d9935d1668c5c7,po_40k_m09_m.dds,4990177df3ccca9230a7dcab9d6e389bed864aee056f805b220eb7410a667d18,64,128,DXT1,24620,4224
po_40k_m09_s.tga,fd7d579f6912dc1444da89acaa9bad9a7068c6d5b3a83812f8e12e68901b8ada,po_40k_m09_s.dds,5a53ceaa20b194461d27c258492d2f11ff7cd8a5d0b6443fae5bf3c97ddc3319,32,64,DXT1,6162,1152
po_40k_m09_t.tga,44d7c596627b86e30413951b3e049bfd9c4d6b0603f25c0e3252d2166bc41ac0,po_40k_m09_t.dds,0b939583feb52e4ac8c5a05b4cddd8567512505c8166dfc5ce874a0ba219db11,16,32,DXT1,1554,384
po_40k_m10_l.tga,105e54c7647675a32f3579308d8662571d16faf5ee7d7fc8c4afe87e60b45607,po_40k_m10_l.dds,8e37a5b062977eadcfecd413e331cb905051f1aa3c8839881b5a3dedb1c60a10,128,256,DXT1,98322,16512
po_40k_m10_m.tga,aa72fac67bf08341969d346ab059a655d87affedf557f53e5de52b014a87858a,po_40k_m10_m.dds,0d39fdb754224530246c556f908c972ded16b089ddbae9ae6e861cbf036d79d4,64,128,DXT1,24620,4224
po_40k_m10_s.tga,c6e2ad5ed3d4846f24942b5f6a9cb2ff4bc2676481b855d270c73847b1250fa4,po_40k_m10_s.dds,05108c8df6f9000d38338938be2e7b33e65f73488ee1769d63a921fc7e9adc42,32,64,DXT1,6162,1152
po_40k_m10_t.tga,e56ecd347ae5ecca7e79e368503da46c4f044df9b8a43da99d3fa2cb0cacfba2,po_40k_m10_t.dds,f5059cdaf14952ad9ea77e2af6761e441ff5a318e4592bf7790d8702b938a3e6,16,32,DXT1,1554,384
po_40k_m11_l.tga,3d9d1de94e3fd3e6924be8c7608e62ea598cbd31e63a6a5fe1b7673765192256,po_40k_m11_l.dds,02b7ef2ac305574939c0c9a8378845ee9ae50d761549f00ed2b62a84a97cefc2,128,256,DXT1,98322,16512
po_40k_m11_m.tga,248cb5868ed6e943c6b4e33ff4fdb6211fb8d44c3a705504c710aae333a48209,po_40k_m11_m.dds,68c870a0c417bae4d89ce0ffdf8393ce85a55109e356411a3f767a4b531399d0,64,128,DXT1,24620,4224
po_40k_m11_s.tga,a5f831e95f61f676eb11c430af6d2a4395d316da2c560bcc68d06ad7cb5b13ec,po_40k_m11_s.dds,7429a3d43540d8c8ecf117d853d94d2bc1bbea41e436849394dbe1305356d0be,32,64,DXT1,6162,1152
po_40k_m11_t.tga,9dd97322d38067ac46cb80aae769b423065be1ef4eed63c45f5c2344e6d15008,po_40k_m11_t.dds,3e9f67fcb098438e43a8e4f7e040f85890af6ff55c17a986cb5a4863a2ced7a0,16,32,DXT1,1554,384
po_40k_m12_l.tga,197b16a5612ec82c18c2827877e989090ad97be1d2c082b00ba783d5afd6cbc4,po_40k_m12_l.dds,ed33213e2dead34f795d86d5a430073358dcafb4291300879fa0b5f33ede4a5c,128,256,DXT1,98322,16512
po_40k_m12_m.tga,33159d4d6bbd8deeef13843b5e62d8edb7cd8a9e3f8c77ef06d6c2e63bb6c2d5,po_40k_m12_m.dds,b46da5bdfbf099c8e9e4d4a9cabdc01fab856b1536162f0b7bdcddc0b5a2fe71,64,128,DXT1,24620,4224
po_40k_m12_s.tga,d81f759147ec18b4ec78627d64d81b56f465e513fdc1b0bff05a34b2b6469946,po_40k_m12_s.dds,e89dc9652652cdfd960287d5eb286d84eb5a5a735b8767a2a9f5d50862ca1b7a,32,64,DXT1,6162,1152
po_40k_m12_t.tga,8e8a75e260825aeca87ad06dabc7de06ec177fcf9889c5a460ee2cd2716218b9,po_40k_m12_t.dds,326cc9f94d2a3ac9e317a1a4fcaa024d4ba7608feee68731be479650096dc7ab,16,32,DXT1,1554,384
po_40k_m13_l.tga,ea286c96441d65770832e9cadcfc3c3021f8f1daad4a84dd1f969066172014df,po_40k_m13_l.dds,1591d79fc800b9cc093d54b88ed88fca50bc77b1a1f534e13cfa84c9f7465331,128,256,DXT1,98322,16512
po_40k_m13_m.tga,28fd72f21bc7604827b774d89b824b051ec12e92e9124522348d07ca28bace42,po_40k_m13_m.dds,ef050b1526196b5d14ca0e07be0d1665acf2bdfaa86a4fc463c32d2ca0f41df9,64,128,DXT1,24620,4224
po_40k_m13_s.tga,50993561aa4f43bc15f50baa772477554e974172f7a18edd344aea0f2005b632,po_40k_m13_s.dds,a8e82b4fbc334b7becaac3e18112acebc42a066f201828bfff2c3ec908660761,32,64,DXT1,6162,1152
po_40k_m13_t.tga,4b76157b6a6f8dc8d1fd333048069b61f3d32b10e532a1d00a1820157b81490d,po_40k_m13_t.dds,432a230c0985bbd74a9e93e7c71af08c8c4324f252bfda368501e50093b7a852,16,32,DXT1,1554,384
po_40k_m14_l.tga,2a289d6442c8164929fa17aa66caa4362e50b0ef9def0ac55eb8fcb386057c11,po_40k_m14_l.dds,fb8fdd97f84b81ce3100c632da609335ecde471486134591960297a9cc341698,128,256,DXT1,98322,16512
po_40k_m14_m.tga,3b483fe7cebbc77a2d1fda547045176bc8a16b59efe4fbb5c57545058b007255,po_40k_m14_m.dds,aff5b0048bb473c5ed1846b6a078174fdcb95ca392fac970ff043371620015ac,64,128,DXT1,24620,4224
po_40k_m14_s.tga,c2c6fd5250b4281bc905f33d754370b1de5e2f6332b4f54ade7aa1794f238efd,po_40k_m14_s.dds,1855e21cd00225adabb666bff1d158b766f866bd43e617f83626f7ddd3e0579b,32,64,DXT1,6162,1152
po_40k_m14_t.tga,bf6355814dbd149cf59acf21f9827265252a14b58b6559ee2464cc042a956dfd,po_40k_m14_t.dds,a5b31ab7d4968860351c26a290ee4be417ec9b55c6de548d5653914e457b391b,16,32,DXT1,1554,384
po_40k_m15_l.tga,fb1a2433ddc3cd77cd5001958cd95747ca2ad5f2151639baf5fe4fa7259f5a0b,po_40k_m15_l.dds,a2581239d796ce6fa214f1f37bd24bdfd047a97b8ceee8d0e4ab25e3959ee0b9,128,256,DXT1,98322,16512
po_40k_m15_m.tga,0c7576a36e777bc731a6504b5ee41689666668fc87229508939d8c4133f6afe4,po_40k_m15_m.dds,03b60310504467ca8e7256f8876b87001ce2ec28de9043cf413cfd87d14f2990,64,128,DXT1,24620,4224
po_40k_m15_s.tga,b1fcbc39ab0d641a0b80c681fec579d9f19f458c16fd5ec84adc0b2cf0f50087,po_40k_m15_s.dds,7b0b13578b85f5ce440b5f9452432d2d5c0edbd08917bfcfe271fad1c8dda890,32,64,DXT1,6162,1152
po_40k_m15_t.tga,d498fcc983249fa02df823cc36efe976cdb3da40f40199fcbf7345a8deba24c1,po_40k_m15_t.dds,1a43ab0fb2767e330a71bc8a40f6a0d25bbf3ca3ee718ec55b2e2a51f63a29df,16,32,DXT1,1554,384
po_40k_m16_l.tga,2465d1a6bb404f8286e1c7f7bc8b6e5fad491095f9f1ec582e60831f2ae20739,po_40k_m16_l.dds,2452915dbc0cef8657d55e76b58c4633a3f1a87b9f045bafe536f73b69872d34,128,256,DXT1,98322,16512
po_40k_m16_m.tga,ceb3fe4f8b37580a735b0f51cf1c69eca5636c32f7f9d4a1a51e3452d05eca7c,po_40k_m16_m.dds,7c75fdad3aad46312ec2f1c361f5d97d320e913f628045429b5136139fc3e35f,64,128,DXT1,24620,4224
po_40k_m16_s.tga,27ed77df1aa27cbe4088b37e5cdcb2c08cec35a03fd63612ca0a890e234e4d04,po_40k_m16_s.dds,b9adb559c560aee05efe75209fa73f3dbd7c03e7871e61669151db2f6d4971ed,32,64,DXT1,6162,1152
po_40k_m16_t.tga,1f35b3224aefaa47e308100385684d883d927b0a8a2361608770475f812a88db,po_40k_m16_t.dds,3954a1f75057c256a6654042303dbfbd1dc3f80d30fcc5d70d5dadd9fd943053,16,32,DXT1,1554,384
po_40k_m17_l.tga,6b202f4b5b82575da76c2181a88a7a574d3e228d5543715823e0680cf495ff34,po_40k_m17_l.dds,c92edb8f92882d63a7c51c075176de82d912c9d0c319ce8ebc6dafc866bf0707,128,256,DXT1,98322,16512
po_40k_m17_m.tga,3abe6f121cc95956a8c08784a604235eedc5fbb36bb5186b8f2961917edb384d,po_40k_m17_m.dds,08d5aff3aa9378bd96c4cccd866072fdc5dd8bf7ed97af3326e2b74783529bc6,64,128,DXT1,24620,4224
po_40k_m17_s.tga,27c79b9eb33f9c6a718079b4dab75cfc9d63cad1c1ab5339b7091762dc86f374,po_40k_m17_s.dds,74ed91b0ab22363b53163f187d8a050e31349ccf8ede8a90a49e3a6c6d2fb461,32,64,DXT1,6162,1152
po_40k_m17_t.tga,44f2587c15cbecd3d3c947df43c17ce9fa007cbbe157cdfc679add187841ec2a,po_40k_m17_t.dds,d30deac0c5a25dc4121b8562b3dd3f3b527bbbd76a26a39ff9fb49cdfd8ee8ec,16,32,DXT1,1554,384
po_40k_m18_l.tga,200fcc0dfe4324a5a204c5fc0981a74ce161f45551f0e3669f10956f474df8c4,po_40k_m18_l.dds,00e37e7aa7b6a9838530b6007c87f6b34c25fbcb186999d42736e1ab155ce1fe,128,256,DXT1,98322,16512
po_40k_m18_m.tga,3758c77be7f0da31f7047c38eaf195bc14b1dfc983fdb6ed474aefa270051467,po_40k_m18_m.dds,bc9e70da67bcd657a7c598c2e8b488e2138e9e162b5585819c8ee752904cf282,64,128,DXT1,24620,4224
po_40k_m18_s.tga,605dcf165f9602f0450494128fe6ede04fa7cf62c36352a615763ebf1cd9a9ad,po_40k_m18_s.dds,9d4ec1d30836e458436d780bd6713233beaa286860ca85965dbb57fe45467231,32,64,DXT1,6162,1152
po_40k_m18_t.tga,bdb4e179f5621cd91e356e8eae6d4321ad5cec9802cadd38e912d85990858a96,po_40k_m18_t.dds,dd4a05eb333195cbf85397e4632c3a6e1037e6fc5b57be360504c2c5e1e44d68,16,32,DXT1,1554,384
po_40k_m19_l.tga,5d09743c5890af37701a797df77174111ca4f8a42a7b1d02f788172556be9374,po_40k_m19_l.dds,151f6b9396c09dc79442e91497c1042738a5fd83d99e796453d9531b82638f41,128,256,DXT1,98322,16512
po_40k_m19_m.tga,156d9a628b4537c0c8b3976dd790dae0a87d2c920abf786df4267e633a8f2ebd,po_40k_m19_m.dds,238278a38807dbb365046493e3c09b1fee4d1f63eb119beb2ef4ac944dc07a71,64,128,DXT1,24620,4224
po_40k_m19_s.tga,d24312291afa6be6aa6dcd3b4f2338dbfd488c1bd7b94a26f189942da959637e,po_40k_m19_s.dds,24115a3595e4904715c49f7acf23f7184404cab8602e7fea3ca64835a49a7cf5,32,64,DXT1,6162,1152
po_40k_m19_t.tga,345dc8cb0cb62dc195e168d8ae62bad54303a0207f720274dc611a1655c079aa,po_40k_m19_t.dds,0b6be7f980df17f2f492036be1a23899a7c65d90dacf3183d815161fa9eee34f,16,32,DXT1,1554,384
po_40k_m20_l.tga,6ec97d956e99251c3ddbb5a80eca76cf74a508732a94c1c4f97234c489f7b6bd,po_40k_m20_l.dds,e7c67fd19124bab835c1cfb16fcbf76f32bb39d89689dcc191753ea8f902e16b,128,256,DXT1,98322,16512
po_40k_m20_m.tga,a5d3dd11496a5a9423678431651f68ce3852a0f5bee1910045f0042b64ae553d,po_40k_m20_m.dds,a96cc603de78d8bf0fc6b8f1f2210444afeb5d4409850ee1b7932b224809732d,64,128,DXT1,24620,4224
po_40k_m20_s.tga,b2cec620adb187a43a1744df8adc233faa57c4e6e16d68383a26d43dbd33605a,po_40k_m20_s.dds,52be6e8f98a55589b8b3ba6788547e389a7d11f4e7d4976d2625005ccd787ef3,32,64,DXT1,6162,1152
po_40k_m20_t.tga,647540f56ad6514f56a164d82445c7213b6336c7032d7585d369395cb87392dc,po_40k_m20_t.dds,d3e8d3e87209def6872c51ac29d951bd2aea9ae4909a56bc8760aee0c5781511,16,32,DXT1,1554,384
po_40k_m21_l.tga,3c2afb748b396e92adbb807ef96c1a68380103413fdd39b0c5b0628667a58c25,po_40k_m21_l.dds,851012ff9e193ac3d575ecdafecb4438fcc19d90149d0c4d57e5756975b0c749,128,256,DXT1,98322,16512
po_40k_m21_m.tga,78f8ca0a7e1f3dd89630bce0f44202f6de8e50e1c2ad2206a6e60b1a725a082c,po_40k_m21_m.dds,99428d85370e579cbe216b33e3fc4e355a266b9c72020ed1d3db1411c468d59d,64,128,DXT1,24620,4224
po_40k_m21_s.tga,73c8543773839e912b8705d20f1989f4603c70b9dddba4bc2d5c911df095812d,po_40k_m21_s.dds,337bbedee227460c4377092fdd6be0e307a78e6ccca2994c079fadcabbb48ded,32,64,DXT1,6162,1152
po_40k_m21_t.tga,cf92a62f32597a277a7adcf34667de32059b9c83428087207e1c78f15352fb28,po_40k_m21_t.dds,4ad980df249734a975732e520298c3678456308f2f95cefd0df12df83e27e418,16,32,DXT1,1554,384
po_40k_m22_l.tga,382779fe778c2ed29a0084a709b460c2502b3d8d20a0007360f93fb6a8fe9a77,po_40k_m22_l.dds,78b6ed8cd9bb51e4c4d44b522f11733bffd18e1ba790ccf14066f0abbdcc7f90,128,256,DXT1,98322,16512
po_40k_m22_m.tga,e8664e159fdc38679bff7c0ec13ea120bccc8e619d560c5153e13339790c81e8,po_40k_m22_m.dds,70a88c1b45c31b34d4ddc74bf42c6abcd12a1f55de9d6c70eb31461730bbe494,64,128,DXT1,24620,4224
po_40k_m22_s.tga,dab04a6ba69162a74d8cc84eab7c74a4c5b7c99dff82613936212b2cd9a483f9,po_40k_m22_s.dds,76154b2d886acd627763fd2a218048bc3899f12079beb7ebc16100c17d4dac2e,32,64,DXT1,6162,1152
po_40k_m22_t.tga,db40c07a38eab066357eb6ff5ac540ff75a96c3ce9728e9ce0ec1a2fa97bb7c8,po_40k_m22_t.dds,109191325ef789106c902fdec50d8a40dc866440c4d611ab53835626a3ff2062,16,32,DXT1,1554,384
po_40k_m23_l.tga,18be9d16109052b91d939e1eb94e58aff92bd20496919085999ee88c80a23597,po_40k_m23_l.dds,b492dbbce18151d6afa414b273b08dd5f0835fe602ff9ef4e4158c58211759f4,128,256,DXT1,98322,16512
po_40k_m23_m.tga,1d317cefccd196cd7ed2f1e71085fd6501af2a44c69fd09781ef98d189639532,po_40k_m23_m.dds,2d64916638494a7fcff37977b2c087f6ffeb6d94e659b31c7fb38ae73ac1db61,64,128,DXT1,24620,4224
po_40k_m23_s.tga,4806b05afbd7edc32a6335e945fc1312c2faf719f1b4ce62cce31fb7961a484a,po_40k_m23_s.dds,ee34afd5c6942e94131fd21e21eb3bd7e76a5428b1e3c83406f9895af56ab4a0,32,64,DXT1,6162,1152
po_40k_m23_t.tga,0a52b0c52415a0805496f68f6c6008587fe938c37075fd56726e923382768c03,po_40k_m23_t.dds,c3f0f5cb734fce6d104c2f40409e96c12162969b8a58be226dd6ac8a55d553a4,16,32,DXT1,1554,384
po_abbasilisk_m.tga,496450b25074d996922d127eda971b1377310151a29ff6b9b44f94b89231fbb0,po_abbasilisk_m.dds,43091e95f7bf61ba6732f3daf12d93d58f194edd1d0ebba1f98d7a8731ebef04,64,128,DXT1,24620,4224
po_abbasilisk_s.tga,db5c90ef926dda93ee14c93dcd1d92381122cc94f63b6d5b7f067d5265334964,po_abbasilisk_s.dds,f566a9b5ec1b50ca1009a9ff6166917df537f5a7cd5bd8de6c77b39e9a7835de,32,64,DXT1,6162,1152
po_abbasilisk_t.tga,b87f74fea2d874a70a0c46936f8da078a34d90967ac4ff930b60505e2e702b2c,po_abbasilisk_t.dds,1bfc8f2953904fbe84c96d381263243d0cae5d25eead6e4e6969fc4370968ea6,16,32,DXT1,1554,384
po_aberr501_l.tga,f61bbf44f7bfbba7e5f5a5dfe751d32a80e831c8e814255c7b06391014dc6425,po_aberr501_l.dds,844162491740ce21ac89130c78de819350b30a33afe5e43143ef49c68a7b3fb3,128,256,DXT1,98322,16512
po_aberr501_m.tga,09cd721abcb45a3cb9cd4fecd50f792621c5fab3022b9218adade1a046b30a6d,po_aberr501_m.dds,df4f4a0119443478ff355e105d9fc39845d19a8ef2d907e66c71e353732e2983,64,128,DXT1,24620,4224
po_aberr501_s.tga,a50dd6614e0a5a7012db64e1247e2d1f56658db2fa3456852f1e66b47b134e8b,po_aberr501_s.dds,48c38bdb89f478b4c7bfa071cf761fe23d9f7577c97578ed968fbfbc3e438d9b,32,64,DXT1,6162,1152
po_aberr501_t.tga,9cda96997cef51dab218347eabfae550611eb32c2390a8b848030a6a18a07d74,po_aberr501_t.dds,308a1c52e6ee7801cf96179b4445a02c669ef7c3b1c741c6dbcb2fc99a33f607,16,32,DXT1,1554,384
po_aberr502_l.tga,2211e13833244ad05de1a1ac69bac7307cc16add497427b7718837606ea08879,po_aberr502_l.dds,d07f6c114482246fc28d470b194c35466191558799adf9b798207d1e0a77e803,128,256,DXT1,98322,16512
po_aberr502_m.tga,205a9ed2b4ef65f080cb1a12500897b101259557314b03697180623416ef26b3,po_aberr502_m.dds,440a9c4e9ecc1e844e31c58dd0da417dfc4997f06316c052d1ecdfc7d0350576,64,128,DXT1,24620,4224
po_aberr502_s.tga,8098973f921b9ba624cbd61ddd75ee16376599241fa28b6acc5445a7c2c679ce,po_aberr502_s.dds,26a76dfb27c2e7bd17a0cff09b4918112f86ec5449d5c89267e03fe5564a7392,32,64,DXT1,6162,1152
po_aberr502_t.tga,9076fef7dbc954659903d447637b8e2f1b9473f71d9a7c5bac9511d137c75d6b,po_aberr502_t.dds,91df5a3e3bfd361b6ff62e782962edfca30119c3315bdca90d9b7c3e22195185,16,32,DXT1,1554,384
po_aberr503_l.tga,a290ff58867d3b7b701b7f8c9ccc00c07d8c90e0be382940fb8df6ba8610bcf0,po_aberr503_l.dds,f4d0b80bf42d997596ff0ceb7669a94a7f28d41781c774ad11ca603d55cb5a12,128,256,DXT1,98322,16512
po_aberr503_m.tga,a3a149dcf1e8438fa602766dcb5fa6ee2bf6bbf27590903e4746840e1ecb615b,po_aberr503_m.dds,3342eaf57f0a3498ecb67fd8a6493a0c3d945d69781fff901dcb9e7fc5f63bd4,64,128,DXT1,24620,4224
po_aberr503_s.tga,cfe485ca02c45912c970093e5b54d78ccf9e4b810d17edb5ecabec3eb7918654,po_aberr503_s.dds,dac0da1f5921e48bdd616a408cfef68b74058979922286185ca8a29a6ee863d8,32,64,DXT1,6162,1152
po_aberr503_t.tga,ecf298466a8e3b0061f339d50700e11565a0948ac7b04934dd4fb07fa88ab3f4,po_aberr503_t.dds,37756bbc5ec540544f3d2af96fc6c3357cca7024af3f356399489183301ef206,16,32,DXT1,1554,384
po_abp_arrow01_l.tga,481758dcceabc5c458edaea4fd14f677218b779280c77210abe14ba12b82cbc3,po_abp_arrow01_l.dds,dece1fcab114af10e0f08b60af18cd9cf82a1684818f57eaa3cc3a73cb07b107,128,256,DXT1,98322,16512
po_abp_arrow01_m.tga,6da00af2a5c2e7e12250e589c7b83d4c7d74ed720335d9fc6748fe6974955db7,po_abp_arrow01_m.dds,8f3d510eee647902bc5286306890a10ce7694678da37279dfe3650dfa699d9d0,64,128,DXT1,24620,4224
po_abp_arrow01_s.tga,106b4b202271c5fbf3af9fcb7f4d3c0c50126ecf65a944dfc840c8d3ec50e480,po_abp_arrow01_s.dds,8b189e910272242fa4e9c425a2e96efead9334ae9eed1a75427cad1cff6cef3f,32,64,DXT1,6162,1152
