file,canonical,reason,original_sha256,corrected_sha256,canonical_sha256
po_dbrlb4_t.tga,po_dbrlb4_m.tga,visual review of structural asymmetry,ea65d07a923c90daf304c8a45d01ed5a811471693d5ff7b2fe47fd2a20ef166d,329c0174a18e889f1a8493306a3cef7782781955f35bb02680d468c9aeb3f1a2,d6b4f3805203c946e913a637e1a419e5aadbd6ec3c9b783b78b63811bb5e8542
po_dchrb3_s.tga,po_dchrb3_m.tga,image comparison and visual review,51891654d38a8ca197fa86e988a1f47b1c7ff540368b0ed7af24d66144db6e85,e73178cd9845dfed700f9d56fbd207ce00a181ca6a2e80f50ba4960a7a472b52,38e70b73e20282bb0dc4d451ec33743b357d66a7d6d1b42abb450321a726f888
po_dchrb3_t.tga,po_dchrb3_m.tga,image comparison and visual review,b39b323083de461b7956b837a59876449bb1972f1f602d03ebd3a67e303d8cf6,ffb81059a606b7988b0170bdae70d4075e697393b21a81104a10b1da455a6e2c,38e70b73e20282bb0dc4d451ec33743b357d66a7d6d1b42abb450321a726f888
po_dcp01_s.tga,po_dcp01_m.tga,visual review of structural asymmetry,7a92dbb4a03dee71bdd51d33d15f0507ca9f463143717b06c22a8c343cabed3f,0b800764a81c537c125def5f2b36ba1a16f16062d99168e2ba69be4a484daeac,f6da682c23d4511e45dc09f28ea5df309bb94275606e6b68be1060913d194796
po_dcp02_s.tga,po_dcp02_m.tga,image comparison and visual review,59cee43075dc6bfbb8d57404162e320f1f73af5dbede11f81474ba14f5d39fe6,176b6e2575592990d57ae41b72515aeea4ea459280dc713cb0ab17a17cec376b,6f94b78b0372cfe1abcb8dfbd36fe9c46e50d6069f68719adfb87c8bd0ccdbe2
po_dcp03_s.tga,po_dcp03_m.tga,visual review of structural asymmetry,726597cfa99b4206a2cc82a9e1fd05e8e966863baf262ea8c6d2ea22479ca243,ceab0a2a90e03ef418b6841f816bfdb9c615d131334490937299c1f83c80d1de,c63e3200476b5d6d1e89a35679f4696ca41c4ba793f225472325626613068211
po_dcp03_t.tga,po_dcp03_m.tga,visual review of structural asymmetry,bf70114cc90d7c4f8db0b7af81c6c1d1b56aac7eade45018473d06264b1fb961,ddb3058d4780948f498b23d6c9c2db6651ba9b63ba6758d849cee84646a28ee0,c63e3200476b5d6d1e89a35679f4696ca41c4ba793f225472325626613068211
po_dcp04_s.tga,po_dcp04_m.tga,visual review of structural asymmetry,15d3e32f43fed77a3a30f8663f73d9eddd7162060ee7d66cf24d61db4308796a,898d93e6bf8ad57904a4e3a14bd87fe2248ce6fdee8f6f16cb2a452862da8072,2db35dc7412ade6c1e2c9b81e8b39edaeafe188d925c3ea14bed448687b78900
po_dcp04_t.tga,po_dcp04_m.tga,visual review of structural asymmetry,2103a625e4c242f36b82260fed97795096937139954a42520cbd5703c40c0f40,e5b5ea4ca33ee7f894da76ae334971f1f4d1cdb1a35277e3011e08e3526ee445,2db35dc7412ade6c1e2c9b81e8b39edaeafe188d925c3ea14bed448687b78900
po_dcp13_t.tga,po_dcp13_m.tga,image comparison and visual review,6eb6ddb189fd656adbf24bd4fd72f53f8137eb5a82287fd6e02d3cfc92141357,0bdcfdec59ec3310ffe11d044722f3bea43b6438400e5a75691bdefe38a1fea3,6c0343872cb6263e5a92c1fec617a8024f53d1d2ffc2a191b184df42b095318f
po_dcp14_t.tga,po_dcp14_m.tga,image comparison and visual review,43f766206c33244e3c48c485960d9de4ada25108a2fde7775ac7274c1ef387fb,13126522779491b521dd0937e66d4fb734ba598b3aaeee3086beec3fdda80119,f9b744371f62235c63ddba7a6002696a90d4966d8e6bebfde4319c445741f7a9
po_dcp35_s.tga,po_dcp35_m.tga,image comparison and visual review,d7765282993f28af90ea67a666cea902573b65cf17f6d2ce1089e48a7e6aa207,52c64f9c5be33f0734ac774ae48484f0488edaf47dc25831c3db5c25b254ff5a,84c47b602aaca041daaba3c649db3682b29c51cfcf9fc8183ebf25dbebfce02d
po_dcp55_s.tga,po_dcp55_m.tga,image comparison and visual review,6ac3c8e8ddb545285a94dd90292cd614dfb7e82265508feedd6bf6b738b7803e,baaa1a6abce786bd29b3859ea1331b7b0eb75730d5b288184ec71e17191d909e,3d2ac649d8dfc37345f9ca280187a0ed00042cc40fc4ca08a1f645243212c065
po_dcp96_t.tga,po_dcp96_m.tga,visual review of structural asymmetry,d48e98580fa7923ee6ffed5982435142da624e0e3652a4fcc13e12de52f1fa42,87b84bfc99c0432112f4e1297c58cba7073b32a196cfbb3a2f824696434e2d02,9adc2575965f9d802ff0ebcf31202f8a1e12b3f55b555b155394ffc3ca0fe2cc
po_dcurtain003_m.tga,po_dcurtain003_l.tga,image comparison and visual review,868ce65688e0297a80b4e4c7415215944d5d86dd0d6f25cd7c256099aba875b0,c40832f14c8581def5d55d9c5da1c566d7b33c0bde2a4c1fc35cdddc18282536,d54b64a48e728f85bb3e7176d5cd27f0d7b03d2bae80f32dcf4278663b2f0eda
po_dcurtain004_m.tga,po_dcurtain004_l.tga,image comparison and visual review,9a0f6e27a9ec6879ba4e15209239c184a41359660fcbe14405f19af93d6b923e,5c29219de4446441f62d2707688974e0798a261da044d41caf4f743f69ce4d64,61f57ae9f63985b91a97e0e7e747b14ca12fe1dacb24ed11e7082a7cbf956bf2
po_dcurtain005_m.tga,po_dcurtain005_l.tga,image comparison and visual review,e6eba185f73eaf2193cc57344d09820b1dcd36aa625407dfc722bdd29ca7f398,99559436741959eee1ae8b6c81508d8fb702b405c128674e604980117b9f0625,33349cae3f664816e6edab8cdbee049c80d7bc31916b74370892074fa3aed0a7
po_dcurtain006_m.tga,po_dcurtain006_l.tga,image comparison and visual review,14be8e9dbb4ba37d0c981cdb647efba47a029669b670edf7f35989dc97165ed1,59c9e64ccf522bc195bc0e8dd77f666f4c0d5c5d79820176a5a83022d0610259,0cbd45d384b7d893a3046e162d6e0960dfaf696c890c091b360d00db6a5f118f
